[INFO] | 2024-11-10 07:37:46 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Analysis started at: 2024-11-10 07:37:46 AM
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | solc version: v0.4.18
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for refundBid
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for refundBid
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function refundBid
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for pickWinner
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for pickWinner
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Range graph generated
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function pickWinner
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Range graph generated
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function constructor
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function withdraw
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for kill
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for kill
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function kill
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Generating return summary for placeBid
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Return summary generated for placeBid
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Range graph generated
[INFO] | 2024-11-10 07:37:47 AM | analyzer.0xd96d1947b7758271c4b0621d90808825121bf329 | Processed function placeBid
