[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Analysis started at: 2024-11-10 07:38:43 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Callgraph generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Value Range Analysis started
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for Y_WALLET
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for Y_WALLET
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function Y_WALLET
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function AddMessage
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for Put
