[INFO] | 2024-11-10 07:39:27 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Analysis started at: 2024-11-10 07:39:27 AM
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Version constraints: ['>=0.4.21', '>=0.4.21', '>=0.4.21', '^0.5.0', '^0.5.0', '>=0.4.24', '>=0.4.24', '^0.5.0', '>=0.5.0', '<0.8.0', '>=0.4.24']
[INFO] | 2024-11-10 07:39:30 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | solc version: v0.5.0
[INFO] | 2024-11-10 07:39:32 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:32 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:32 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Range graph generated
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Range graph generated
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for mul
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for mul
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function mul
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for div
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for div
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function div
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for sub
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for sub
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function sub
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for add
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for add
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function add
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function totalSupply
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Processed function balanceOf
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1963737af12d3649f6f319fb64af2aa29f7256b7 | Generating return summary for transfer
