[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Callgraph generation started!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:09 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Value Range Analysis started
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Processed function totalSupply
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Processed function balanceOf
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x589fbf3d4168518b8b849b7eedfdb719407900ca | State variable assignement do not exist
