[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Analysis started at: 2024-11-10 07:39:16 AM
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | solc version: v0.4.13
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Processed function transfer
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Processed function balanceOf
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Generating return summary for BDSM_Presale
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Return summary generated for BDSM_Presale
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Range graph generated
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Processed function BDSM_Presale
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Range graph generated
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Range graph generated
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Processed function fallback
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Value Range Analysis took 0.004371 seconds
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Dependency detection started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Static Analysis took 1.479329 seconds
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x8c944c3f4029c14c22b6525ac3155482c2559541 | Dependency does not exist
