[INFO] | 2024-11-10 07:40:35 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Analysis started at: 2024-11-10 07:40:35 AM
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | solc version: v0.4.17
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for div
