[INFO] | 2024-11-10 07:37:07 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Analysis started at: 2024-11-10 07:37:07 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | solc version: v0.4.24
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Processed function constructor
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Generating return summary for Sort
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Return summary generated for Sort
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Processed function Sort
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Processed function onlyowner
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Range graph generated
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Processed function fallback
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Generating return summary for Count
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Return summary generated for Count
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Processed function Count
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Value Range Analysis took 0.003813 seconds
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Dependency detection started!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Static Analysis took 1.142620 seconds
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Dependency does not exist
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Analysis finished!
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Analysis took 1.142905 seconds
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x7a5c92aa4deff4f784a7149e26ba96e77f3f0635 | Analysis finished at: 2024-11-10 07:37:08 AM
