[INFO] | 2024-11-10 07:38:31 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Analysis started at: 2024-11-10 07:38:31 AM
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Processed function mul
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Generating return summary for div
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Return summary generated for div
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:33 AM | analyzer.0x62a03c868c959386b2df7f266e79bc711fb92398 | Processed function div
