[INFO] | 2024-11-10 07:40:26 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Analysis started at: 2024-11-10 07:40:26 AM
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | solc version: v0.4.24
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Callgraph generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:40:45 AM | analyzer.0x37238583c041a2f51964f23fde2710c4fbd29e9e | Issues with getting the high level call destination address
