[INFO] | 2024-11-10 07:38:17 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Analysis started at: 2024-11-10 07:38:17 AM
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | solc version: v0.4.25
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for Airdrop
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for Airdrop
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Range graph generated
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function Airdrop
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function fallback
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Range graph generated
