[INFO] | 2024-11-10 07:37:04 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Analysis started at: 2024-11-10 07:37:04 AM
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Version constraints: ['0.4.25']
[INFO] | 2024-11-10 07:37:08 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | solc version: v0.4.25
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Callgraph generation started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Value Range Analysis started
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Range graph generated
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Generating return summary for min
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Return summary generated for min
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Processed function min
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Generating return summary for requireNotZero
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Return summary generated for requireNotZero
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Processed function requireNotZero
[INFO] | 2024-11-10 07:37:11 AM | analyzer.0x04d660832910ff492e940daff9ec7b3497e886ac | Generating return summary for requireNotZero
