[INFO] | 2024-11-10 07:40:39 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Analysis started at: 2024-11-10 07:40:39 AM
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:40:41 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | solc version: v0.4.24
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Generating return summary for transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Return summary generated for transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Processed function transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Processed function transferFrom
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Processed function balanceOf
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Generating return summary for transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Return summary generated for transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Processed function transfer
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:40:43 AM | analyzer.0x066416dc99bea2c852e46acf88128480479cf191 | Return summary generated for transferFrom
