[INFO] | 2024-11-10 07:39:44 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Analysis started at: 2024-11-10 07:39:44 AM
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Range graph generated
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Processed function constructor
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Generating return summary for Sort
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Return summary generated for Sort
