[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Analysis started at: 2024-11-10 07:38:50 AM
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | solc version: v0.4.0
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Callgraph generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Value Range Analysis started
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for buyTokens
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for buyTokens
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function buyTokens
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for AgentContracteGalaxy
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for AgentContracteGalaxy
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Range graph generated
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function AgentContracteGalaxy
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for getTarget
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for getTarget
