[INFO] | 2024-11-10 07:44:04 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Analysis started at: 2024-11-10 07:44:04 AM
[INFO] | 2024-11-10 07:44:04 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:44:04 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | solc version: v0.4.23
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Callgraph generation started!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Callgraph generation finished!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Value Range Analysis started
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Range graph generated
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for transfer
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for transfer
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Processed function transfer
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Processed function balanceOf
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for constructor
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for constructor
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Range graph generated
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Processed function constructor
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for fallback
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for fallback
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Range graph generated
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Processed function fallback
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:05 AM | analyzer.0xfc560a12fb91c7b743d070e5764b4404de2f4883 | Range graph generated
