[INFO] | 2024-11-10 07:41:29 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Analysis started at: 2024-11-10 07:41:29 AM
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | solc version: v0.4.25
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for Piggy_BNK
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for Piggy_BNK
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function Piggy_BNK
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function AddMessage
