[INFO] | 2024-11-10 07:40:27 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Analysis started at: 2024-11-10 07:40:27 AM
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Version constraints: ['0.4.23', '^0.4.18', '^0.4.15', '^0.4.15']
[INFO] | 2024-11-10 07:40:36 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | solc version: v0.4.23
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:03 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Range graph generated
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Range graph generated
[INFO] | 2024-11-10 07:41:09 AM | analyzer.0x2aa216f8126190fe5610b1b6c3c4835d1b07c8c8 | Processed function slitherConstructorConstantVariables
