[INFO] | 2024-11-10 07:43:53 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Analysis started at: 2024-11-10 07:43:53 AM
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Version constraints: ['^0.4.25']
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | solc version: v0.4.25
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Callgraph generation started!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Value Range Analysis started
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for C_bank
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for C_bank
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function C_bank
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function AddMessage
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for Put
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for Put
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function Put
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for Collect
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for Collect
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function Collect
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Generating return summary for fallback
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Return summary generated for fallback
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Range graph generated
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Processed function fallback
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Value Range Analysis took 0.002953 seconds
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Value Range Analysis finished
