[INFO] | 2024-11-10 07:40:03 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Analysis started at: 2024-11-10 07:40:03 AM
[INFO] | 2024-11-10 07:40:04 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:40:04 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | solc version: v0.4.24
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function mul
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for div
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for div
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function div
