[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Analysis started at: 2024-11-10 07:37:51 AM
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for SetMinSum
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for SetMinSum
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function SetMinSum
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for SetLogFile
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for SetLogFile
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
