[INFO] | 2024-11-10 07:38:08 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Analysis started at: 2024-11-10 07:38:08 AM
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Version constraints: ['^0.4.20']
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | solc version: v0.4.20
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:36 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Range graph generated
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Range graph generated
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Processed function mul
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:40 AM | analyzer.0x0c2795fc4e1f57614eb78923dc78521ff0676fb8 | State variable assignement do not exist
